store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
969,2016,484035,307,Main shopping street,04/03/1993,10265,0,0,0,7,0,83,7,35,56,5,0,0.219917012,6.840390879
655,2016,431151,195,Outskirts / residential,11/03/1993,336152,10,0,2,125,49,1724,99,1060,646,3,1,0.121914051,10.20512821
649,2016,244162,180,Main shopping street,18/03/1993,7935,0,0,0,2,0,29,5,12,36,2,0,0.132092199,6.388888889
658,2016,360373,270,Specialist retail center,01/04/1993,18927,0,0,0,2,0,62,2,32,111,0,0,0.13740458,6.296296296
654,2016,271496,229,Pedestrian zone,20/04/1993,16246,0,0,0,10,5,83,10,60,163,8,5,0.147236414,
670,2016,298322,311,Main shopping street,17/05/1993,17370,1,0,2,11,7,60,8,30,62,4,2,0.099224806,7.395498392
660,2016,186137,290,Main shopping street,19/05/1993,4240,0,0,0,4,2,19,1,27,62,4,2,0.217391304,2.75862069
683,2016,459094,355,Pedestrian zone,27/05/1993,49397,7,0,1,28,9,307,17,141,311,12,5,0.252222452,11.83098592
685,2016,261374,343,Outskirts / residential,03/06/1993,5509,0,0,0,4,2,47,8,14,43,2,0,0.126696833,
696,2016,457558,245,Main shopping street,08/07/1993,97660,2,0,0,17,1,287,22,115,486,9,0,0.184462754,12.24489796
966,2016,499432,337,Main shopping street,02/09/1993,14512,0,0,0,4,1,61,5,25,67,3,0,0.21386306,6.974777448
680,2016,285699,266,Outskirts / residential,02/09/1993,6044,0,0,0,3,0,57,4,12,28,3,0,0.116575592,5.263157895
1019,2016,504230,308,Main shopping street,14/09/1993,55800,0,3,6,26,15,415,21,167,316,11,6,0.219182112,13.47402597
1015,2016,393734,248,Pedestrian zone,16/09/1993,10774,0,0,0,6,0,64,8,30,51,6,0,0.102932376,9.072580645
1025,2016,266600,315,Main shopping street,21/10/1993,12377,0,1,2,2,0,23,4,8,20,2,0,0.2279924,3.916666667
1013,2016,291486,317,Outskirts / residential,04/11/1993,41080,0,0,0,20,4,258,16,105,146,8,1,0.185160649,8.769716088
1010,2016,157910,165,Main shopping street,09/11/1993,15021,0,0,0,6,0,34,3,24,49,2,0,0.220338983,
1017,2016,285926,196,Main shopping street,25/11/1993,30004,2,0,0,9,1,142,7,65,91,3,0,0.196321471,9.566326531
1044,2016,382770,399,Main shopping street,29/11/1993,15770,2,0,0,9,2,139,5,31,143,6,0,0.10118505,5.221378446
1045,2016,426855,270,Outskirts / residential,25/01/1994,129230,0,0,5,27,6,269,22,132,349,10,1,0.275703619,11.11111111
1056,2016,315161,228,Main shopping street,21/04/1994,13843,0,2,2,6,1,42,5,33,56,2,0,0.299823633,7.412280702
1073,2016,297147,195,Outskirts / residential,25/04/1994,46238,1,0,0,8,1,105,13,59,145,1,0,0.280018332,7.948717949
1059,2016,722838,413,Outskirts / residential,02/05/1994,231073,0,0,2,82,26,1245,95,590,793,4,1,0.190761334,9.532542373
1074,2016,205195,314,Outskirts / residential,02/05/1994,27653,3,2,3,5,1,79,10,41,105,3,1,0.140530602,
1061,2016,205943,294,Main shopping street,09/05/1994,64546,0,2,4,12,5,126,10,54,137,2,0,0.296478607,
1064,2016,189984,176,Outskirts / residential,09/05/1994,84190,1,0,0,26,8,190,18,77,160,4,1,0.219811321,
1050,2016,212546,143,Main shopping street,10/05/1994,27472,1,0,0,4,0,59,7,18,48,2,0,0.34044665,10.72643357
1068,2016,498593,311,Outskirts / residential,24/05/1994,32002,1,4,4,11,2,148,13,52,124,4,1,0.244514107,11.70418006
1060,2016,383869,399,Main shopping street,31/05/1994,15259,1,0,2,2,0,41,8,23,58,2,0,0.199797673,7.518796992
1088,2016,213671,170,Main shopping street,28/06/1994,71950,0,0,0,15,0,90,9,51,266,2,0,0.290205011,4.5
1094,2016,292887,179,Specialist retail center,18/07/1994,4267,0,0,8,1,0,28,3,12,20,0,0,0.13559322,6.145251397
1096,2016,529465,307,Specialist retail center,22/08/1994,29338,0,0,1,13,3,151,13,70,119,1,0,0.096728808,11.4228013
1097,2016,334138,302,Main shopping street,23/08/1994,10070,2,6,7,4,1,30,4,14,95,2,0,0.241409692,8.443708609
1105,2016,198047,168,Main shopping street,29/09/1994,9436,2,0,2,2,0,10,4,8,25,2,0,0.222739981,8.142857143
1109,2016,423269,326,Main shopping street,18/10/1994,199921,1,0,0,63,18,716,42,352,532,7,2,0.259537111,9.472392638
1112,2016,357023,235,Specialist retail center,27/10/1994,10869,0,0,0,4,1,29,6,11,34,3,1,0.139323574,10
1114,2016,275102,153,Outskirts / residential,10/11/1994,59927,0,0,0,29,11,332,19,147,261,6,3,0.174597621,9.477124183
1107,2016,311493,220,Main shopping street,17/11/1994,6963,0,0,0,2,0,32,3,18,49,2,0,0.145261293,7.086363636
1132,2016,311865,195,Outskirts / residential,15/12/1994,36470,0,0,0,5,2,91,8,34,87,3,1,0.311267606,7.541948718
1143,2016,218226,227,Outskirts / residential,19/01/1995,6864,0,0,0,5,1,55,4,13,64,4,1,0.219567691,5.418502203
1138,2016,224339,269,Main shopping street,23/01/1995,10519,0,0,0,3,0,51,5,21,26,2,0,0.215144231,
